key	text	tooltip
#Loc;1;text/db/vco_campaign_payload_ui_details.loc		
campaign_payload_ui_details_description_vco_vmp_man_dilemma_ossified_portal_ask_again	Questo dilemma apparirà ancora tra 10 turni.	false
campaign_payload_ui_details_description_vco_vmp_man_dilemma_ossified_portal_teleport	Mannfred sarà teletrasportato in Sylvania.	false
campaign_payload_ui_details_description_vco_chd_ast_grimgor_unlock_dummy	Grimgor Ironbound sarà reclutabile.	false
campaign_payload_ui_details_description_vco_chs_bel_dilemma_aetherophasic_engine_elves	Gli Alti Elfi saranno forzatamente vassallizzati.	false
campaign_payload_ui_details_description_vco_chs_bel_dilemma_aetherophasic_engine_empire	Gli uomini dell'Impero saranno forzatamente vassallizzati.	false
campaign_payload_ui_details_description_vco_chs_bel_dilemma_aetherophasic_engine_bretonnia	I Bretonniani saranno forzatamente vassallizzati.	false
campaign_payload_ui_details_description_vco_chs_bel_dilemma_aetherophasic_engine_dwarfs	The Dwarfs saranno forzatamente vassallizzati.	false
campaign_payload_ui_details_description_vco_lzd_maz_dilemma_unity_spirit_vassalise	Tutte le fazioni degi Uomini Lucertola sopravvissute saranno vassallizzate.	false
campaign_payload_ui_details_description_vco_lzd_maz_dilemma_unity_spirit_confederate	Tutte le fazioni degi Uomini Lucertola sopravvissute saranno confederate.	false
