key	text	tooltip
#Loc;1;text/db/vco_cdir_events_dilemma_choice_details.loc		
cdir_events_dilemma_choice_details_localised_choice_label_vco_brt_alb_dilemma_mananns_favourFIRST	Prega per le Tempeste	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_brt_alb_dilemma_mananns_favourSECOND	Prega per Mari Calmi	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_arc_dilemma_slayer_kingsFIRST	Libera il Demone	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_arc_dilemma_slayer_kingsSECOND	Rinnega il Demone	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_cth_miao_dilemma_sister_rescuedFIRST	Consiglia la Moderazione	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_cth_miao_dilemma_sister_rescuedSECOND	Consiglia la Vendetta	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_dwf_gro_dilemma_elvesFIRST	Perdona gli Elfi	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_dwf_gro_dilemma_elvesSECOND	Condanna gli Elfi	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_ksl_kat_dilemma_call_for_aidFIRST	Richiedi ai Bretonniani	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_ksl_kat_dilemma_call_for_aidFOURTH	Richiedi agli Alti Elfi	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_ksl_kat_dilemma_call_for_aidSECOND	Richiedi ai Nani	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_ksl_kat_dilemma_call_for_aidTHIRD	Richiedi all'Impero	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_skv_mdr_dilemma_ultimate_harvestFIRST	Divora la Carne Divina	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_skv_mdr_dilemma_ultimate_harvestSECOND	Commercia la Carne Divina	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_vmp_man_dilemma_ossified_portalFIRST	Oltrepassa la soglia	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_vmp_man_dilemma_ossified_portalSECOND	I tempi non sono ancora maturi	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_vmp_man_dilemma_ossified_portalTHIRD	Non è nel mio interesse	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_brt_alb_dilemma_mananns_favourFIRST	Alberic offre il suo tridente al suo dio, giurando che continuerà a cacciare i nemici di Manann ovunque le tempeste infurino più feroci.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_brt_alb_dilemma_mananns_favourSECOND	Cadendo su un ginocchio, Alberic si umilia davanti al suo dio e prega affinché le flotte di Bretonnia abbiano un passaggio sicuro.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_arc_dilemma_slayer_kingsFIRST	"Sei libero, demone. Libero di servire come mio mulo da soma. Ora vai, fruga tra i cadaveri degli uccisi. Porta indietro qualsiasi cosa di valore trovi."	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_arc_dilemma_slayer_kingsSECOND	"Ho detto che ti avrei liberato, potente demone. Non ho mai specificato quando."	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_cth_miao_dilemma_sister_rescuedFIRST	Vieni sorella, hai già sofferto abbastanza in questi luridi deserti. Viaggia con me verso i Giardini del Paradiso. Madre sarà felicissima del tuo ritorno.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_cth_miao_dilemma_sister_rescuedSECOND	Questi dannati demoni devono pagare per le loro trasgressioni! Combatti al mio fianco, sorella. Insieme li respingeremo fino ai cancelli polari!	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_dwf_gro_dilemma_elvesFIRST	Il Rancore è risolto. Le velate macchinazioni del Re Stregone sono state messe a nudo affinchè tutti le vedessero. Riforgiamo le vecchie alleanze e restiamo uniti contro l'oscurità a venire.	true
